start,end,n_rows,duration_h,raw_samples_above_limit,raw_support_fraction,peak_score,peak_raw_severity,knock_driven,group
10268,10279,11,1.9127777777775918,11,1.0,0.9970958617732214,3.3371493584289835,False,C_RHS
10280,10283,3,0.5216666666667606,3,1.0,0.9961113100198942,3.0338460126000544,False,C_RHS
10284,10296,12,2.086666666666588,12,1.0,0.9970482338009043,3.4252376314778052,False,C_RHS
10297,10338,41,7.129444444444516,41,1.0,0.9983707930666028,3.5084681845749017,False,C_RHS
10339,10374,35,6.086111111111222,35,1.0,0.9981605985888883,3.498281070110195,False,C_RHS
10375,10409,34,5.912222222222226,34,1.0,0.9981087194236822,3.683905407444884,False,C_RHS
10410,10432,22,3.825555555555411,22,1.0,0.9979313327643956,3.448392033618874,False,C_RHS
10433,10484,51,8.86833333333334,51,1.0,0.9972809556368325,3.9150439539063555,False,C_RHS
10485,10491,6,1.0433333333335213,6,1.0,0.9967841831602525,3.151717186386699,False,C_RHS
10492,10497,5,0.8694444444445253,5,1.0,0.9969010330759537,3.38797616172154,False,C_RHS
10498,10507,9,1.5650000000000546,9,1.0,0.9981280963118905,3.7745333602404694,False,C_RHS
10508,10511,3,0.5216666666665333,3,1.0,0.9968637947561254,2.786860149181177,False,C_RHS
10515,10527,12,2.086666666666815,12,1.0,0.995106425063654,3.1574970077459974,False,C_RHS
10530,10547,17,2.956111111111113,17,1.0,0.9957845612305115,3.1789546347088633,False,C_RHS
10548,10608,60,10.433333333333167,60,1.0,0.9971939039266311,3.8095259629536704,False,C_RHS
10609,10621,12,2.086666666666588,12,1.0,0.9941936181196599,3.2669337097993854,False,C_RHS
10622,10648,26,4.521111111111168,26,1.0,0.9920759869431071,2.9310184864286435,False,C_RHS
10649,10668,19,3.3038888888888778,19,1.0,0.9936883583034534,3.3277500797121697,False,C_RHS
10669,10676,7,1.2172222222220626,7,1.0,0.9916906031451174,3.061388786778406,False,C_RHS
10679,10692,13,2.260555555555584,13,1.0,0.990987963868006,3.105734589417769,False,C_RHS
10693,10707,14,2.43444444444458,14,1.0,0.9932094216217008,3.1382309680020906,False,C_RHS
10708,10711,3,0.5216666666667606,3,1.0,0.9894048384180242,2.946252200033314,False,C_RHS
10712,10802,90,15.650000000000091,90,1.0,0.9891885221226778,3.011444285163308,False,C_RHS
10809,10835,26,4.521111111111168,26,1.0,0.9606351823347856,2.5761014435149803,False,C_RHS
10836,10862,26,4.521111111111168,26,1.0,0.9531686236735725,2.4389634218816623,False,C_RHS
10865,10908,43,7.477222222222281,43,1.0,0.9222725137283645,2.3563680207858186,False,C_RHS
10909,10927,18,3.1299999999998818,18,1.0,0.907952284574376,1.898602667982528,False,C_RHS
10928,10946,18,3.1299999999998818,17,0.9444444444444444,0.8626987731649322,2.0536756288748417,False,C_RHS
10947,10960,13,2.260555555555584,12,0.9230769230769231,0.8633756887358112,2.0100538002735027,False,C_RHS
10961,10990,29,5.042777777777701,23,0.7931034482758621,0.8201754065834952,1.9682367478998637,False,C_RHS
10993,11011,18,3.130000000000109,12,0.6666666666666666,0.7562614659011757,2.063400451400192,False,C_RHS
